celda_id,lat_min,lat_max,lon_min,lon_max,lat_centro,lon_centro,area_km2
606,6.204000000000002,6.208500000000003,-75.52550000000028,-75.52100000000029,6.2062500000000025,-75.52325000000027,0.2495
607,6.204000000000002,6.208500000000003,-75.52100000000029,-75.51650000000029,6.2062500000000025,-75.51875000000028,0.2495
608,6.204000000000002,6.208500000000003,-75.51650000000029,-75.5120000000003,6.2062500000000025,-75.51425000000029,0.2495
609,6.204000000000002,6.208500000000003,-75.5120000000003,-75.5075000000003,6.2062500000000025,-75.5097500000003,0.2495
610,6.204000000000002,6.208500000000003,-75.5075000000003,-75.50300000000031,6.2062500000000025,-75.5052500000003,0.2495
611,6.204000000000002,6.208500000000003,-75.50300000000031,-75.49850000000032,6.2062500000000025,-75.50075000000031,0.2495
612,6.208500000000003,6.213000000000003,-75.71,-75.7055,6.210750000000003,-75.70774999999999,0.2495
613,6.208500000000003,6.213000000000003,-75.7055,-75.70100000000001,6.210750000000003,-75.70325,0.2495
614,6.208500000000003,6.213000000000003,-75.70100000000001,-75.69650000000001,6.210750000000003,-75.69875,0.2495
615,6.208500000000003,6.213000000000003,-75.69650000000001,-75.69200000000002,6.210750000000003,-75.69425000000001,0.2495
616,6.208500000000003,6.213000000000003,-75.69200000000002,-75.68750000000003,6.210750000000003,-75.68975000000002,0.2495
617,6.208500000000003,6.213000000000003,-75.68750000000003,-75.68300000000004,6.210750000000003,-75.68525000000002,0.2495
618,6.208500000000003,6.213000000000003,-75.68300000000004,-75.67850000000004,6.210750000000003,-75.68075000000003,0.2495
619,6.208500000000003,6.213000000000003,-75.67850000000004,-75.67400000000005,6.210750000000003,-75.67625000000004,0.2495
620,6.208500000000003,6.213000000000003,-75.67400000000005,-75.66950000000006,6.210750000000003,-75.67175000000005,0.2495
621,6.208500000000003,6.213000000000003,-75.66950000000006,-75.66500000000006,6.210750000000003,-75.66725000000005,0.2495
622,6.208500000000003,6.213000000000003,-75.66500000000006,-75.66050000000007,6.210750000000003,-75.66275000000006,0.2495
